,text,score,PredScore
0,"My cat loves the rabbit and the duck variety, but got sick within 5 minutes of eating the venison. I tried three cans, spaced apart, and each time vomited profusely afterwards. I am not sure whether there is something that he is reacting to or if the food itself is bad, but there it is.",1.0,3.0
1,"This tea tastes strange, not sure it's an authentic Qimen tea, not sure it's really natural as it alleged to be neither.",1.0,2.0
2,"This sausage has no flavor other than salt!  I could not taste ANY fennel at all in it, or whiskey either!  I was very disappointed in the product.",1.0,2.0
3,This bully stick is so small!! It's really light. No substance. I returned it immediately. For the price you can purchase at least two smaller bully sticks that will be thicker. My dog would devour this thing in minutes! Do not purchase.,1.0,1.0
4,"I dont even want to rate a one star. Out of 36 ordered (ordered a dozen extra assuming some will break), only 17 were not broken.  I wont even have enough now for all the guests and it is too late to get replacements.  I DO NOT recommend purchasing thees. After paying $27 dollars for lollipops, I would have expected a little more care with packaging.",1.0,1.0
5,I will buy a new coffee maker before I will pay that much for the cup holder! I think it is due to the availability of the product.,1.0,3.0
6,"This is more like seasoned salt than ""creole."" We have it at local dollar stores where I like and they can't give it away there.",1.0,3.0
7,"I would agree with the other poor ratings on service for Royal Oak - very poor customer service from Royal Oak. We ordered, this year, the exact same product as last year. When it arrived, the nuts were not the same product, and they would not refund or pay shipping for the return. Also, they only operate the few weeks that peanuts are 'in season.' Otherwise, emails and phone calls are not even acknowledged.",1.0,1.0
8,"There's 33.8ounces pack of 12 (2 is spoiled)<br />There's 11ounces pack of 12 (3 is spoiled so far)<br /><br />Leaking everywhere in the package.<br /><br />You think I'm saving money, think again. NOT RECOMMENDED.",1.0,1.0
9,I received one of these in a sampler package I had ordered of different flavored coffees from the Official Keurig.com website. I just didn't like the taste of it. I would not order this K-Cup again.,1.0,2.0
10,"i bought this popcorn based on other reviews.  the people that wrote the other reviews must work for the popcorn cmpany. the popcorn is not that good and has no butter taste. plus, this makes the popcorn very expensive. i would not buy this popcorn again.",1.0,2.0
11,The hooves arrived with the peanut butter crumbed not packed in the hoof. The point of buying the hooves with the peanut butter is to give the dogs a challenge. I had to throw the crumbled mess away and give the dogs just he plain old hoof.,1.0,1.0
12,"Our Senseo makes fine coffee with the standard Melita Pod but these Buzzworthy Pods mostly produce light brown water.  Unless the pod is exactly centered in the holder, water leaks around the edges and very little coffee is produced.",1.0,3.0
13,"In simple terms, there's not enough chocolate in the world to get the taste out of my mouth. And I love pesto.",1.0,2.0
14,"We gave our cat these treats for a long time, she ate them ok..When we switched treats, she was noticeable more excited at treat time, with the other treats, PLUS her digestive system and cat box seemed & SMELLED A lot better. There is something wrong with these treats, STAY AWAY!!! do yourself & your cat a favor and buy other treats, and make sure your cat food is good quality (evo or better)",1.0,4.0
