,productId,score,text
161562,B0009F3PGC,3.0,"You know at first I was like WOW these things are salty, but you get used to it after a while. I'm going to have to give you 3 stars cause honestly I donlt know how you can sell this stuff to humans."
79205,B003TNANSO,4.0,These were really good. I didn't really taste any peanut butter which is why it didn't get 5 stars. Also it's a little pricey. But for snack or breakfast they are really quite satisfying. And since it's all natural and gluten free they are great for anybody.
77103,B001OCKIP0,4.0,"I'll admit right up front that I am not the biggest fan of or authority on granola (most of it is too sweet for my taste and I am not a sweet-for-breakfast kind of person).  I used to eat granola on yogurt--back when I was trying to train myself to like yogurt--but I rarely eat it anymore, so I don't buy granola anymore either.<br /><br />But THIS granola--Back to Nature's Chocolate Delight--intrigued me because I am a chocoholic.  I couldn't imagine eating it as a breakfast food, but I did find quite a yummy use for it--I sprinkled it on ice cream.  I LOVE the flavors of coffee and chocolate together, so I thought sprinkling it on my coffee ice cream (or frozen yogurt) was worth a try.  It was quite a tasty combination and gave my dessert a great crunch factor, which I love.<br /><br />This granola, unlike most, is NOT oversweet.  When I ordered it, I thought the oaty part would be choclate too, but it isn't (or, if it's intended to be, it's so mild that I can't tell).  When I tried the oaty part of the granola with the chocolate chunks that come in it, it had just the right level of sweetness for me.  When I tried the oaty part by itself, it was surprisingly low in sweetness.  The chocolate chunks are dark chocolate (my favorite) and are surprisingly rich tasting--no cheap chocolate taste here.<br /><br />I don't have any other granola here at home to compare the numbers, but my guess would be that this is a bit healthier than many granolas.  According to the package it is ""made with whole grain rolled oats perfectly sweetened with natural ingredients.""  Reading the ingredient list, those natural ingredients would appear to be evaporated cane juice and brown rice syrup.  It is high in calories (220 for a 1/2 cup serving), but I think that is true of any granola.  It has 6g of fat, 2 of which are sat fat, and it has no trans fat.  It has 13g of sugar (which I think is probably lower than most granolas), 4g of fiber and 5g of protein.<br /><br />In terms of eating this granola as a snack by itself, the downside to me is that it is not very chunky.  The majority of my 12-oz. bag was loose oaty bits and chocolate chips...chunks of more than a few oats stuck together were in the minority.  Now, as an ice cream topping, that was a positive thing, but it wouldn't be for snack eating.<br /><br />Will I buy this again when this bag is gone?  Probably not.  But not because it wasn't good and not because it didn't make a great ice cream topping.  As stated, I'm just not that much of a granola person and I really don't need one more snack food laying around the house to tempt me."
17533,B0045Z6K50,5.0,This is my favorite K-cup coffee.  It is very bold and work on any cup size.  We use about 3 K-cups each day so the 80 pack lasts for quite a while.
150337,B002C3WN9Y,3.0,"I would rather have real almond butter on a cracker, but this is good for travel or if u are on the run!"
131347,B004N5C7FE,1.0,My son and daughter received this as a gift form their Grand Dad and were so excited to try it. They hated it my mother and I tried as well and totally agreed with the kids this stuff is nasty!!
157564,B0017T6S0Y,3.0,"tastes ok, but i would get black tea with lemon next time for a little more flavor."
153588,B000FFQ23Y,3.0,"I ordered a case & was dismayed that all the bags contained 70% broken pieces.  I bought these for my gluten-free, soy-free, egg-free son & for small children, broken food is a big deal.  I will pursue a refund from Amazon.<br /><br />Once you can get past the broken pieces, they taste good."
250839,B003D3533A,2.0,"I was so excited to find Shade Grown, Fair Trade, Organic, Decaf coffee.  But it's not good.  It just tastes bad, that is the only way to put it.  Coffee should have a certain flavor, even cheap diner coffee tastes like coffee, but this coffee not so much.  It's definitely a light roast, and maybe I put too much in the pot when I made it, but both my husband and I right off the bat said this taste is gross.  I love Paul Newman's Organic coffee, but while I love the message and even the name of Tiny Footprint, I don't think I'll buy it again.  Now what to do with 2 pounds of coffee I can't stand to drink?"
18027,B008ZRKZSM,5.0,"This product is very good. I follow the directions exactly and mix it with water.. I havent tried mixing it w/ jelly or honey or anything else, as some others have suggested; the whole reason I bought this was because I wanted a lower calorie, lower fat alternative to regular peanut butter, so for me, mixing it with 150 calories worth of jelly doesnt make any sense.<br /><br />In any case, this is definitely NOT exactly like regular peanut butter.. the consistency is a little different, but I suppose you could adjust that to your own liking by adding more or less water. Also, you can definitely tell that this is a lower fat product than regular peanut butter; I mean, when you take a tablespoon of regular peanut butter, you can instantly taste and sense the richness due to the fat content, and when you eat PB2, you definitely notice the difference. Thats not necessarily a bad thing, just different. Its almost the same as if you are used to eating super premium, high fat ice cream, and then one day you switch to low fat; the low fat may still taste very good, but because you are so used to eating the high fat stuff, you will instantly notice a difference-- however, once you get used to it, it wont bother you.<br /><br />I would say PB2 is the same... its definitely NOT the exact same taste / texture as regular peanut butter, but its still very good. it has a very fresh, ""clean"" taste. in my opinion, its DEFINITELY worth the compromise, considering the huge amount of fat and calories in regular peanut butter, and how much healthier PB2 is in comparison . I have cravings for peanut butter just about every day, but up to now, I have only allowed myself to eat regular peanut butter about once a week, due to the fat and calorie content...  but now, since finding PB2, I allow myself to have it whenever I want it.<br /><br />By the way.. I tried the PB2 Chocolate version-- I ordered a sample from their website-- it was OK.. not fabulous, not bad. to me, if I am going to really ""go for it"" and eat chocolate peanut butter anything, its not going to be a low fat version, because its just not worth it. in other words, if I had a craving for a Reeses peanut butter cup, chocolate PB2 would not satisfy that craving. On the other hand, when I have craving for regular peanut butter-- in a sandwich or right off of a spoon, regular PB2 will satisfy that craving without wrecking my diet. Bottom line: if you arent sure whether or not you will like this product, go to the Bell Plantation website and spend the four bucks and order a sample, and give it a try, then you will know for sure before you commit to buying 4 jars plus shipping. ( and folks, the shipping costs almost as much as the 4 jars, so make sure you like this before you order it! )<br /><br />My final verdict is I am pretty sure I will be replacing regular peanut butter with PB2 for as long as they keep making it, and will probably order it by the case in the future to save on shipping."
